1.179999, 0, 0, 30.44272, 2.649128, 0, 9718.462, -746.9425, -6.713542, 0.01916307, 0.1562024, 134.33, 2.100001, 1.704499, 29.48458
1.379999, -0.08794232, -0.1129586, 35.85077, 2.721143, 0.0639906150449966706267620597, 13780.35, -748.7237, -6.713542, 0.01916307, 0.1562024, 160.1764, 2.097554, 1.702818, 29.80016
 
1.389999, -0.0182115, -0.113838, 36.12563, 2.724764, 0.0438479987178258400499267558, 14005.68, -748.813, -6.713542, 0.01916307, 0.1562024, 161.4927, 2.098322, 1.702734, 29.81594
 
1.399999, 0.05250953, -0.1140201, 36.40091, 2.728386, 0.0238973996721933329768322302, 14233.18, -748.9023, -6.713542, 0.01916307, 0.1562024, 162.8113, 2.099085, 1.70265, 29.83172
 
1.409999, 0.123762, -0.113495, 36.67645, 2.73186, 0.0042559952662788137510012392, 14462.86, -748.9917, -6.713542, 0.01916307, 0.1562024, 164.1322, 2.099838, 1.702566, 29.8475
 
1.419999, 0.1948857, -0.1122574, 36.95267, 2.735632, -0.0149556412029167798745963996, 14694.71, -749.0809, -6.713542, 0.01916307, 0.1562024, 165.4552, 2.099427, 1.702482, 29.86328
 
1.429999, 0.2650121, -0.1103085, 37.22887, 2.73896, -0.0336188684900062453380885764, 14928.77, -749.1703, -6.713542, 0.01916307, 0.1562024, 166.7806, 2.098713, 1.702397, 29.87906
 
1.439999, 0.3336301, -0.1076584, 37.50591, 2.742735, -0.0516186020015776050534332587, 15165.01, -749.2596, -6.713542, 0.01916307, 0.1562024, 168.1082, 2.098025, 1.702313, 29.89484
 
1.449999, 0.4002331, -0.1043221, 37.78305, 2.746214, -0.0688430692327013172157231242, 15403.47, -749.3491, -6.713542, 0.01916307, 0.1562024, 169.438, 2.097369, 1.702229, 29.91062
 
1.459999, 0.4643171, -0.1003198, 38.06074, 2.749843, -0.0851842779313324549450807585, 15644.14, -749.4384, -6.713542, 0.01916307, 0.1562024, 170.7701, 2.096747, 1.702145, 29.9264
 
1.469999, 0.5253938, -0.09567659, 38.33884, 2.753472, -0.1005423763160591828586239477, 15887.02, -749.5278, -6.713542, 0.01916307, 0.1562024, 172.1044, 2.096164, 1.702061, 29.94217
 
1.479999, 0.5829713, -0.09042265, 38.61733, 2.757103, -0.1148204473674154532288511446, 16132.15, -749.6173, -6.713542, 0.01916307, 0.1562024, 173.441, 2.095623, 1.701977, 29.95795
 
1.489999, 0.6365757, -0.08459294, 38.89622, 2.760736, -0.1279296970677463357043537921, 16379.5, -749.7068, -6.713542, 0.01916307, 0.1562024, 174.7798, 2.095127, 1.701893, 29.97373
 
1.499999, 0.685746, -0.07822718, 39.17535, 2.76422, -0.1397883363966584472406520694, 16629.1, -749.7961, -6.713542, 0.01916307, 0.1562024, 176.1209, 2.094679, 1.701809, 29.98951
 
1.509999, 0.7300587, -0.07136972, 39.4552, 2.768004, -0.1503265250073910951205237939, 16880.97, -749.8857, -6.713542, 0.01916307, 0.1562024, 177.4643, 2.094281, 1.701725, 30.00529
 
1.519999, 0.769094, -0.06406914, 39.7353, 2.77164, -0.1594792788854502743771058447, 17135.1, -749.9753, -6.713542, 0.01916307, 0.1562024, 178.81, 2.093936, 1.701641, 30.02107
 
1.529999, 0.8024709, -0.0563782, 40.01595, 2.775426, -0.1671932657200150853723357069, 17391.51, -750.0646, -6.713542, 0.01916307, 0.1562024, 180.158, 2.093645, 1.701557, 30.03685
 
1.539999, 0.8298414, -0.04835349, 40.29685, 2.779064, -0.1734262633704853596037990718, 17650.21, -750.1542, -6.713542, 0.01916307, 0.1562024, 181.5083, 2.093411, 1.701473, 30.05263
 
1.549999, 0.8508883, -0.04005508, 40.57832, 2.782853, -0.1781451160144120067215551662, 17911.21, -750.2438, -6.713542, 0.01916307, 0.1562024, 182.8609, 2.093233, 1.701389, 30.06841
 
1.559999, 0.8653383, -0.03154619, 40.86018, 2.786643, -0.1813293327246439292648660938, 18174.51, -750.3334, -6.713542, 0.01916307, 0.1562024, 184.2158, 2.093114, 1.701305, 30.08419
 
1.569999, 0.8729587, -0.02289281, 41.14226, 2.790284, -0.1829698297142087737132001360, 18440.1, -750.4229, -6.713542, 0.01916307, 0.1562024, 185.573, 2.093052, 1.701221, 30.09997
 
1.579999, 0.8735697, -0.01416322, 41.4246, 2.793778, -0.1830694019944826488421055139, 18707.99, -750.5126, -6.713542, 0.01916307, 0.1562024, 186.9323, 2.093048, 1.701137, 30.11575
 
1.589999, 0.867044, -0.005427526, 41.70746, 2.797422, -0.1816444702573001937079280267, 18978.2, -750.6024, -6.713542, 0.01916307, 0.1562024, 188.294, 2.093102, 1.701053, 30.13153
 
1.599999, 0.8532977, 0.003242914, 41.99056, 2.800918, -0.1787203642932573940890734284, 19250.73, -750.692, -6.713542, 0.01916307, 0.1562024, 189.6579, 2.093212, 1.700969, 30.1473
 
1.609999, 0.8323048, 0.01177589, 42.27436, 2.804713, -0.1743352534764594101398331208, 19525.61, -750.7816, -6.713542, 0.01916307, 0.1562024, 191.0241, 2.093377, 1.700885, 30.16308
 
1.619999, 0.8041112, 0.02009894, 42.55856, 2.808511, -0.1685411948937857437401597019, 19802.84, -750.8713, -6.713542, 0.01916307, 0.1562024, 192.3927, 2.093595, 1.700801, 30.17886
 
1.629999, 0.7688257, 0.02814005, 42.84285, 2.812011, -0.1614022991186762393056125077, 20082.43, -750.9611, -6.713542, 0.01916307, 0.1562024, 193.7635, 2.093863, 1.700716, 30.19464
 
1.639999, 0.7266127, 0.03582831, 43.12782, 2.815811, -0.1529921273567863837372843036, 20364.36, -751.0508, -6.713542, 0.01916307, 0.1562024, 195.1366, 2.09418, 1.700632, 30.21042
 
1.649999, 0.6777178, 0.04309443, 43.41286, 2.819311, -0.1433975345866277091060700205, 20648.66, -751.1405, -6.713542, 0.01916307, 0.1562024, 196.512, 2.094542, 1.700549, 30.2262
 
1.659999, 0.6224492, 0.04987161, 43.69788, 2.822515, -0.1327150185759610696406160204, 20935.21, -751.2303, -6.713542, 0.01916307, 0.1562024, 197.8891, 2.094946, 1.700464, 30.24198
 
1.669999, 0.5611839, 0.0560961, 43.9824, 2.824971, -0.1210499512536655914908792331, 21224.02, -751.3201, -6.713542, 0.01916307, 0.1562024, 199.2679, 2.095387, 1.70038, 30.25776
 
1.679999, 0.494391, 0.06170794, 44.26749, 2.827727, -0.1085208935085515887796457640, 21515.09, -751.4099, -6.713542, 0.01916307, 0.1562024, 200.6484, 2.095861, 1.700296, 30.27354
 
1.689999, 0.4225895, 0.06665185, 44.55126, 2.829137, -0.0952505114023880353937881680, 21808.17, -751.4997, -6.713542, 0.01916307, 0.1562024, 202.0295, 2.096365, 1.700212, 30.28932
 
1.699999, 0.3463946, 0.07087775, 44.83399, 2.829498, -0.0813732449823659381253868886, 22103.27, -751.5896, -6.713542, 0.01916307, 0.1562024, 203.4111, 2.096892, 1.700128, 30.3051
 
1.709999, 0.2664634, 0.07434169, 45.11659, 2.82971, -0.0670247571131528272911916955, 22400.38, -751.6795, -6.713542, 0.01916307, 0.1562024, 204.7932, 2.097438, 1.700044, 30.32088
 
1.719999, 0.183535, 0.07700633, 45.39764, 2.828722, -0.0523491306311871102707133882, 22699.13, -751.7692, -6.713542, 0.01916307, 0.1562024, 206.1742, 2.097998, 1.69996, 30.33665
 
1.729999, 0.09841301, 0.07884168, 45.67626, 2.825638, -0.0374932957907471293231855368, 22999.5, -751.8593, -6.713542, 0.01916307, 0.1562024, 207.5539, 2.098565, 1.699876, 30.35243
 
1.739999, 0.01194888, 0.07982581, 45.95483, 2.822851, -0.0226071350768760187845374725, 23301.49, -751.9492, -6.713542, 0.01916307, 0.1562024, 208.9324, 2.099134, 1.699792, 30.36821
 
1.749999, -0.07495379, 0.0799453, 46.23376, 2.820663, -0.0078413258059782167412220995, 23605.22, -752.0392, -6.713542, 0.01916307, 0.1562024, 210.3104, 2.0997, 1.699708, 30.38399
 
1.759999, -0.161317, 0.07919577, 46.51276, 2.818773, 0.0066565362055847148670147199, 23910.69, -752.129, -6.713542, 0.01916307, 0.1562024, 211.6878, 2.099746, 1.699624, 30.39977
 
